SRCADDRESS,BYTEINCOUNT
10.18.40.149,52
10.44.44.10,149
10.44.44.10,141
10.44.44.130,139
1.38.14.61,79
101.17.142.21,52
101.199.112.50,40
103.207.37.40,152
103.207.37.40,152
103.3.79.138,52
103.60.177.77,44
103.60.177.77,44
103.60.177.77,44
103.60.177.77,44
104.16.234.151,3197
10.200.200.6,122
104.16.234.151,2383
104.204.199.36,892
10.49.19.99,52
104.24.26.2,720
104.27.190.4,8493
104.28.7.3,654
104.28.7.3,662
107.170.225.191,40
107.170.225.191,40
107.170.225.191,40
107.22.199.156,52
107.22.199.156,959
107.22.199.156,1357
1.53.177.166,152
108.163.201.226,40
108.163.201.226,910
108.166.43.1,104
108.166.43.1,40
103.81.131.20,96
104.131.127.235,66
104.16.12.243,40
104.16.12.243,5029
104.163.188.99,1745
104.20.48.179,4993
104.25.102.15,4575
104.25.102.15,4278
104.67.79.201,9635
104.93.195.94,6091
104.93.195.94,3429
104.93.195.94,5080
104.93.195.94,10194
104.93.195.94,3429
104.93.195.94,5080
104.93.195.94,5028
104.93.195.94,6535
104.93.195.94,164
104.93.195.94,4960
107.22.214.143,52
107.6.42.113,2980
107.6.42.113,9471
107.6.42.113,52
107.6.42.113,4209
107.6.42.113,52
107.6.42.113,2253
107.6.42.113,3993
107.6.42.113,19935
108.162.124.247,747
1.226.30.103,40
108.162.217.166,82
108.162.240.229,79
108.162.240.229,75
108.61.192.238,460
114.229.88.251,40
114.229.88.251,40
114.229.88.251,40
114.229.88.251,40
114.229.88.251,40
114.229.88.251,40
114.229.88.251,40
114.229.88.251,40
114.229.88.251,40
103.243.221.46,2690
103.251.109.155,40
103.251.109.155,3998
103.36.52.246,40
104.157.106.157,1747
104.157.106.157,3591
104.16.110.12,3126
104.16.66.50,1227
104.16.66.50,3201
104.16.66.50,5730
104.16.66.50,80
104.16.66.50,6257
104.16.66.50,40
104.16.66.50,40
104.199.122.234,405
104.199.122.234,52
104.20.75.166,80
104.47.40.108,60871
104.93.161.188,3566
105.8.0.62,40
106.51.168.112,52
106.58.206.15,40
